市场|代码|名称|进入日期|进入时间|进入价
0|002824|和胜股份|20260827|10:15|25.70
0|002793|罗欣药业|20260827|10:15|5.22
0|002730|电光科技|20260827|10:15|24.15
0|002369|卓翼科技|20260827|10:15|6.38
0|002003|伟星股份|20260827|10:15|11.72
0|001268|联合精密|20260827|10:15|26.11
1|600693|东百集团|20260827|10:32|9.51
0|001232|嘉立创|20260827|10:15|158.89
0|301630|同宇新材|20260827|10:53|204.99
1|600114|东睦股份|20260827|10:32|30.97
0|000931|中 关 村|20260827|10:15|5.64
1|600345|长江通信|20260827|10:18|50.30
0|301536|星宸科技|20260827|10:18|117.49
0|301458|钧崴电子|20260827|10:18|38.48
0|301373|凌玮科技|20260827|10:18|105.01
0|301312|智立方|20260827|10:18|77.87
0|300302|同有科技|20260827|10:18|30.85
0|000070|特发信息|20260827|10:15|16.70
0|300145|南方泵业|20260827|10:16|4.61
0|002793|罗欣药业|20260827|10:18|5.16
0|002730|电光科技|20260827|10:18|23.94
0|002369|卓翼科技|20260827|10:18|6.37
0|002003|伟星股份|20260827|10:18|11.72
0|001268|联合精密|20260827|10:18|26.08
0|000931|中 关 村|20260827|10:18|5.58
0|002947|恒铭达|20260827|10:16|66.30
0|000070|特发信息|20260827|10:16|16.65
1|603093|南华期货|20260827|10:19|12.71
1|601519|大智慧|20260827|10:19|8.73
1|600785|新华百货|20260827|10:19|11.88
1|600345|长江通信|20260827|10:19|50.28
0|300277|汽轮科技|20260827|13:15|12.19
0|301536|星宸科技|20260827|10:19|117.43
0|301373|凌玮科技|20260827|10:19|105.88
0|300377|赢时胜|20260827|13:25|15.30
0|300311|任子行|20260827|10:19|5.56
0|002730|电光科技|20260827|10:21|23.97
0|002456|欧菲光|20260827|10:21|7.47
0|002041|登海种业|20260827|10:21|11.23
0|001268|联合精密|20260827|10:21|26.17
0|300302|同有科技|20260827|10:19|31.03
0|300085|银之杰|20260827|11:00|31.05
0|300302|同有科技|20260827|10:23|30.93
0|002730|电光科技|20260827|10:25|24.06
0|002369|卓翼科技|20260827|10:25|6.38
0|002003|伟星股份|20260827|11:00|11.69
0|301510|固高科技|20260827|13:06|27.96
0|001232|嘉立创|20260827|10:19|158.51
0|001268|联合精密|20260827|10:25|26.02
0|002041|登海种业|20260827|10:23|11.32
0|300145|南方泵业|20260827|10:22|4.60
0|301312|智立方|20260827|10:32|77.77
0|000025|特 力Ａ|20260827|10:22|16.79
0|001232|嘉立创|20260827|10:23|159.37
0|002793|罗欣药业|20260827|10:28|5.18
0|002730|电光科技|20260827|10:28|24.12
0|000025|特 力Ａ|20260827|10:23|16.69
0|301373|凌玮科技|20260827|10:29|107.24
0|301312|智立方|20260827|10:29|77.77
0|300302|同有科技|20260827|10:29|30.98
0|002793|罗欣药业|20260827|10:29|5.18
0|002369|卓翼科技|20260827|10:29|6.39
0|001268|联合精密|20260827|10:29|26.19
0|000931|中 关 村|20260827|10:29|5.65
0|300842|帝科股份|20260827|10:32|66.53
0|300302|同有科技|20260827|10:32|30.98
0|002793|罗欣药业|20260827|10:32|5.13
0|000070|特发信息|20260827|10:29|16.50
0|002730|电光科技|20260827|10:30|24.00
1|600326|西藏天路|20260827|10:50|7.83
0|002369|卓翼科技|20260827|10:30|6.37
0|000931|中 关 村|20260827|10:32|5.61
0|000070|特发信息|20260827|10:32|16.44
1|600114|东睦股份|20260827|10:36|31.03
0|301312|智立方|20260827|10:36|78.20
0|300842|帝科股份|20260827|10:36|66.83
0|001268|联合精密|20260827|10:30|26.05
0|300302|同有科技|20260827|10:36|31.05
0|000025|特 力Ａ|20260827|10:32|16.63
0|001268|联合精密|20260827|10:33|26.30
0|000070|特发信息|20260827|10:33|16.44
0|000025|特 力Ａ|20260827|10:33|16.63
0|300377|赢时胜|20260827|10:35|15.25
1|600184|光电股份|20260827|10:58|18.70
0|300302|同有科技|20260827|10:35|30.98
0|300085|银之杰|20260827|10:35|31.08
0|001268|联合精密|20260827|10:35|26.50
0|000070|特发信息|20260827|10:35|16.48
0|000025|特 力Ａ|20260827|10:35|16.63
0|300277|汽轮科技|20260827|13:25|12.30
0|301630|同宇新材|20260827|10:57|205.00
0|002793|罗欣药业|20260827|10:36|5.16
0|002730|电光科技|20260827|10:36|24.19
0|001268|联合精密|20260827|10:36|26.22
0|300842|帝科股份|20260827|10:49|67.55
0|301312|智立方|20260827|10:49|78.97
1|600114|东睦股份|20260827|10:39|31.03
0|300302|同有科技|20260827|10:39|31.41
0|300277|汽轮科技|20260827|10:39|12.13
0|002793|罗欣药业|20260827|10:39|5.14
0|002730|电光科技|20260827|10:39|24.04
0|000070|特发信息|20260827|10:39|16.48
0|300825|阿尔特|20260827|10:43|11.10
0|001268|联合精密|20260827|10:39|26.29
0|000070|特发信息|20260827|10:37|16.48
0|300277|汽轮科技|20260827|10:40|12.13
0|300145|南方泵业|20260827|10:40|4.62
0|300085|银之杰|20260827|10:40|31.09
0|300377|赢时胜|20260827|10:57|15.21
0|300277|汽轮科技|20260827|10:57|12.17
0|002793|罗欣药业|20260827|10:40|5.14
0|000070|特发信息|20260827|10:40|16.48
0|002670|国盛证券|20260827|14:43|11.78
0|300145|南方泵业|20260827|10:42|4.62
0|300085|银之杰|20260827|10:42|31.01
0|002793|罗欣药业|20260827|10:42|5.14
0|300798|锦鸡股份|20260827|10:58|7.97
0|001268|联合精密|20260827|10:42|26.40
0|000070|特发信息|20260827|10:42|16.46
0|002369|卓翼科技|20260827|10:43|6.37
0|001268|联合精密|20260827|10:43|26.41
0|002730|电光科技|20260827|10:49|24.24
0|300842|帝科股份|20260827|10:50|67.69
0|301510|固高科技|20260827|13:00|27.91
1|603396|金辰股份|20260827|13:03|29.45
0|300377|赢时胜|20260827|13:00|15.31
0|002369|卓翼科技|20260827|10:46|6.36
0|000070|特发信息|20260827|10:49|16.57
0|001268|联合精密|20260827|10:46|26.30
0|300085|银之杰|20260827|10:58|31.08
0|300277|汽轮科技|20260827|10:53|12.18
0|300825|阿尔特|20260827|10:44|11.10
0|300798|锦鸡股份|20260827|10:50|7.97
0|001268|联合精密|20260827|10:53|26.35
0|002730|电光科技|20260827|10:50|24.18
1|603200|上海洗霸|20260827|13:24|45.98
0|002003|伟星股份|20260827|10:58|11.69
0|000070|特发信息|20260827|10:50|16.57
0|300302|同有科技|20260827|10:54|31.23
0|300085|银之杰|20260827|10:54|31.00
0|002003|伟星股份|20260827|11:11|11.72
0|001268|联合精密|20260827|10:54|26.35
0|300277|汽轮科技|20260827|11:05|12.20
0|002730|电光科技|20260827|11:05|24.12
0|002670|国盛证券|20260827|11:32|11.57
0|300377|赢时胜|20260827|11:32|15.31
0|300277|汽轮科技|20260827|13:14|12.19
1|603093|南华期货|20260827|13:14|13.22
0|002003|伟星股份|20260827|11:05|11.70
1|600184|光电股份|20260827|11:07|18.69
0|300798|锦鸡股份|20260827|11:07|7.95
0|002730|电光科技|20260827|11:29|24.19
0|002670|国盛证券|20260827|11:08|11.60
0|300085|银之杰|20260827|11:07|31.04
0|002369|卓翼科技|20260827|11:10|6.36
0|300277|汽轮科技|20260827|13:13|12.19
0|300377|赢时胜|20260827|13:13|15.27
0|300215|电科院|20260827|14:53|6.43
0|300798|锦鸡股份|20260827|11:14|7.93
0|301510|固高科技|20260827|13:03|27.96
0|300377|赢时胜|20260827|13:03|15.23
0|002670|国盛证券|20260827|14:39|11.78
0|002003|伟星股份|20260827|11:25|11.70
0|301092|争光股份|20260827|11:24|45.93
0|002670|国盛证券|20260827|13:57|11.63
0|002730|电光科技|20260827|11:28|24.19
0|002003|伟星股份|20260827|11:28|11.70
0|001324|长青科技|20260827|13:42|19.79
0|300277|汽轮科技|20260827|11:24|12.22
1|605277|新亚电子|20260827|13:49|17.26
0|300798|锦鸡股份|20260827|11:15|7.94
0|002670|国盛证券|20260827|13:20|11.58
0|002730|电光科技|20260827|11:26|24.22
0|002670|国盛证券|20260827|13:45|11.66
0|002003|伟星股份|20260827|11:26|11.70
0|300215|电科院|20260827|13:46|6.41
0|002670|国盛证券|20260827|13:46|11.66
0|301149|隆华新材|20260827|01:04|8.39
